Indicator Name,Country_Name,Country_Code,Region,IncomeGroup,1990_G,1990_C,1990_P,1991_G,1991_C,1991_P,1992_G,1992_C,1992_P,1993_G,1993_C,1993_P,1994_G,1994_C,1994_P,1995_G,1995_C,1995_P,1996_G,1996_C,1996_P,1997_G,1997_C,1997_P,1998_G,1998_C,1998_P,1999_G,1999_C,1999_P,2000_G,2000_C,2000_P,2001_G,2001_C,2001_P,2002_G,2002_C,2002_P,2003_G,2003_C,2003_P,2004_G,2004_C,2004_P,2005_G,2005_C,2005_P,2006_G,2006_C,2006_P,2007_G,2007_C,2007_P,2008_G,2008_C,2008_P,2009_G,2009_C,2009_P,2010_G,2010_C,2010_P,2011_G,2011_C,2011_P,2012_G,2012_C,2012_P,2013_G,2013_C,2013_P,2014_G,2014_C,2014_P,2015_G,2015_C,2015_P,2016_G,2016_C,2016_P,2017_G,2017_C,2017_P,2018_G,2018_C,2018_P,2019_G,2019_C,2019_P,2020_G,2020_C,2020_P
GDP per capita (current US$),Russian Federation,RUS,Europe & Central Asia,Upper middle income,"3,494.06",14.6215,"147,969,407","3,490.45",14.3971,"148,394,216","3,098.80",13.6720,"148,538,197","2,930.67",12.6651,"148,458,777","2,662.10",11.3542,"148,407,912","2,665.78",11.0226,"148,375,787","2,643.93",10.8071,"148,160,129","2,737.57",10.0700,"147,915,361","1,834.86",10.0762,"147,670,784","1,330.76",10.3503,"147,214,776","1,771.59",10.6677,"146,596,869","2,100.35",10.7358,"145,976,482","2,377.53",10.7726,"145,306,497","2,975.12",11.1304,"144,648,618","4,102.36",11.1127,"144,067,316","5,323.46",11.2319,"143,518,814","6,920.20",11.5684,"143,049,637","9,101.24",11.6113,"142,805,114","11,635.28",11.5957,"142,742,366","8,562.82",10.8321,"142,785,349","10,674.99",11.3254,"142,849,468","14,311.06",11.8849,"142,960,908","15,420.86",11.7021,"143,201,721","15,974.62",11.3770,"143,506,995","14,095.65",11.2082,"143,819,667","9,313.02",11.0520,"144,096,870","8,704.89",10.8874,"144,342,397","10,720.33",11.0352,"144,496,739","11,287.35",11.4966,"144,477,859","11,536.26",11.7972,"144,406,261","10,194.44",11.2323,"144,073,139"
GDP per capita (current US$),Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,"1,647.42",14.5125,"16,348,000","1,514.92",14.9751,"16,451,711","1,515.74",15.4413,"16,439,095","1,429.08",13.3844,"16,380,672","1,316.18",12.3357,"16,145,766","1,288.19",11.0796,"15,816,243","1,350.31",9.8467,"15,578,227","1,445.50",8.6238,"15,334,405","1,468.67",9.0128,"15,071,640","1,130.12",8.2158,"14,928,374","1,229.00",8.0728,"14,883,626","1,490.93",7.9042,"14,858,335","1,658.03",8.8208,"14,858,948","2,068.12",9.8023,"14,909,019","2,874.29",10.5262,"15,012,984","3,771.28",11.1717,"15,147,029","5,291.57",12.1047,"15,308,085","6,771.42",12.8126,"15,484,192","8,458.02",15.3413,"15,776,938","7,165.22",13.2741,"16,092,822","9,070.49",14.0733,"16,321,872","11,634.00",14.8247,"16,557,202","12,386.70",14.5663,"16,792,090","13,890.63",15.2631,"17,035,551","12,807.26",12.1042,"17,288,285","10,510.77",10.8911,"17,542,806","7,714.84",11.3788,"17,794,055","9,247.58",11.9138,"18,037,776","9,812.63",11.8675,"18,276,452","9,812.60",11.0509,"18,513,673","9,121.64",11.2977,"18,755,666"
GDP per capita (current US$),Ukraine,UKR,Europe & Central Asia,Lower middle income,"1,532.50",13.2704,"51,891,400","1,474.34",12.5370,"52,000,500","1,417.17",11.0189,"52,150,400","1,258.13",9.5692,"52,179,200","1,012.10",8.0058,"51,921,400",935.96,7.7505,"51,512,800",872.71,6.7788,"51,057,800",991.24,6.4877,"50,594,600",835.24,6.1679,"50,144,500",635.76,6.1546,"49,674,000",658.34,6.0471,"49,176,500",807.80,6.1763,"48,662,400",911.91,6.3055,"48,202,470","1,087.79",6.9067,"47,812,949","1,416.60",6.4726,"47,451,626","1,894.46",6.2712,"47,105,171","2,391.32",6.4972,"46,787,786","3,197.93",6.7114,"46,509,355","4,066.53",6.5112,"46,258,189","2,639.38",5.4636,"46,053,331","3,078.41",5.8627,"45,870,741","3,704.84",6.1992,"45,706,086","4,004.79",6.0779,"45,593,342","4,187.74",5.9413,"45,489,648","3,104.65",5.2511,"45,272,155","2,124.66",4.2315,"45,154,036","2,187.73",4.4808,"45,004,673","2,638.33",3.9022,"44,831,135","3,096.56",4.1599,"44,622,518","3,661.46",3.9337,"44,386,203","3,751.74",3.7538,"44,132,049"
GDP per capita (current US$),Nauru,NRU,East Asia & Pacific,High income,,13.1590,"9,598",,12.7853,"9,902",,11.9064,"10,129",,11.1969,"10,226",,10.8429,"10,274",,10.5079,"10,316",,9.8695,"10,345",,9.8813,"10,363",,9.5885,"10,377",,8.9955,"10,383",,8.4803,"10,377",,7.7777,"10,363",,7.5355,"10,351",,6.6415,"10,344",,6.1925,"10,335",,6.0574,"10,318",,4.2840,"10,294",,4.0421,"10,267",,4.1296,"10,243",,3.9480,"10,233","4,644.36",4.1695,"10,241","6,328.10",3.8996,"10,283","9,675.96",4.0310,"10,444","8,825.98",4.4230,"10,694","9,063.00",4.6252,"10,940","7,587.25",4.8726,"11,185","8,528.63",4.6079,"11,437","9,361.04",4.7937,"11,682","10,985.87",4.5287,"11,924","10,316.53",4.4016,"12,132","10,124.70",3.3618,"12,315"
GDP per capita (current US$),Brunei Darussalam,BRN,East Asia & Pacific,High income,"13,440.67",12.4473,"261,928","13,717.39",12.5417,"269,860","15,080.72",12.9243,"277,416","14,420.59",13.7967,"284,713","14,000.45",14.6098,"291,935","15,827.99",15.3820,"299,097","16,706.47",15.7651,"306,196","16,593.43",16.6825,"313,215","12,653.81",14.1117,"320,152","14,065.70",13.5547,"327,045","17,971.89",14.1286,"333,926","16,437.42",13.8190,"340,748","16,817.24",13.2967,"347,463","18,521.37",15.5785,"354,045","21,839.26",14.1569,"360,461","25,991.21",13.6108,"366,717","30,767.75",20.1734,"372,808","32,337.27",18.8600,"378,748","37,427.54",20.5750,"384,568","27,497.55",20.1744,"390,311","34,609.71",18.1057,"396,053","46,139.11",18.2630,"401,506","46,844.20",17.9510,"406,634","43,950.05",17.5098,"411,702","41,035.78",16.9932,"416,656","30,681.43",15.1807,"421,437","26,762.04",16.3582,"425,994","28,186.99",16.9431,"430,276","31,240.50",17.3623,"434,274","30,748.31",16.1119,"438,048","27,179.35",21.7058,"441,725"
GDP per capita (current US$),Germany,DEU,Europe & Central Asia,High income,"22,303.96",12.0266,"79,433,029","23,357.76",11.6548,"80,013,896","26,438.23",11.0738,"80,624,598","25,522.63",10.9302,"81,156,363","27,076.61",10.7553,"81,438,348","31,658.35",10.7086,"81,678,051","30,485.87",11.0400,"81,914,831","26,964.05",10.6375,"82,034,771","27,289.06",10.5458,"82,047,195","26,734.94",10.1534,"82,100,243","23,694.76",10.0994,"82,211,508","23,628.33",10.2936,"82,349,925","25,197.27",10.1030,"82,488,495","30,310.36",10.1388,"82,534,176","34,106.66",9.9504,"82,516,260","34,520.24",9.7295,"82,469,422","36,353.88",9.8865,"82,376,451","41,640.08",9.5276,"82,266,372","45,612.71",9.6175,"82,110,097","41,650.37",8.9717,"81,902,307","41,572.46",9.4534,"81,776,930","46,705.90",9.2990,"80,274,983","43,855.85",9.4513,"80,425,823","46,298.92",9.6242,"80,645,605","48,023.87",9.0885,"80,982,500","41,103.26",9.0873,"81,686,611","42,136.12",9.0730,"82,348,669","44,652.59",8.8583,"82,657,002","47,939.28",8.5370,"82,905,782","46,805.14",7.9272,"83,092,962","46,749.48",7.2552,"83,160,871"
GDP per capita (current US$),Turkmenistan,TKM,Europe & Central Asia,Upper middle income,806.39,12.0008,"3,720,278",771.89,9.8877,"3,821,782",815.00,7.1566,"3,926,369",788.99,6.6900,"4,031,698",619.63,8.1163,"4,133,037",587.29,8.0418,"4,226,623",553.06,7.1165,"4,301,093",561.53,6.9901,"4,363,672",587.99,7.1846,"4,431,517",544.44,8.3731,"4,501,079",635.71,8.4277,"4,569,132",762.61,8.4406,"4,635,094",949.58,8.8127,"4,698,968","1,256.03",9.7395,"4,758,988","1,418.81",10.2422,"4,819,792","1,658.67",10.3551,"4,885,775","2,074.41",10.4797,"4,954,029","2,520.29",11.6385,"5,024,894","3,778.67",11.6233,"5,100,083","3,901.67",10.1114,"5,180,957","4,286.88",11.2330,"5,267,970","5,453.16",12.1393,"5,360,811","6,441.89",12.2298,"5,458,682","7,049.80",11.4731,"5,560,095","7,685.51",10.9813,"5,663,152","6,208.30",11.0602,"5,766,431","6,163.25",10.9191,"5,868,561","6,354.53",10.7017,"5,968,383","6,721.35",10.4397,"6,065,066","7,344.88",10.2675,"6,158,420","7,330.37",10.1841,"6,250,438"
GDP per capita (current US$),Belgium,BEL,Europe & Central Asia,High income,"20,600.38",10.9670,"9,967,379","21,041.66",11.3909,"10,004,486","23,372.62",11.1824,"10,045,158","22,283.94",10.9186,"10,084,475","24,208.55",11.3588,"10,115,603","28,413.83",11.3022,"10,136,811","27,489.56",11.7606,"10,156,637","24,820.94",11.4558,"10,181,245","25,338.44",11.7037,"10,203,008","25,252.80",11.2957,"10,226,419","23,098.89",11.4400,"10,251,250","23,015.07",11.5043,"10,286,570","25,006.19",10.7280,"10,332,785","30,655.21",11.1315,"10,376,133","35,429.41",10.8770,"10,421,137","36,809.70",10.5892,"10,478,617","38,705.11",10.2467,"10,547,958","44,319.17",9.7787,"10,625,700","48,303.40",9.9641,"10,709,973","44,760.29",9.2534,"10,796,493","44,184.95",9.8088,"10,895,586","47,410.57",8.7412,"11,038,264","44,670.56",8.5780,"11,106,932","46,757.95",8.6519,"11,159,407","47,764.07",8.0616,"11,209,057","41,008.30",8.4348,"11,274,196","42,012.62",8.3107,"11,331,422","44,198.48",8.1394,"11,375,158","47,544.98",8.1844,"11,427,054","46,641.72",8.0938,"11,488,980","45,609.00",7.3981,"11,538,604"
GDP per capita (current US$),Finland,FIN,Europe & Central Asia,High income,"28,364.65",10.9423,"4,986,431","25,484.74",10.9963,"5,013,740","22,319.06",10.3690,"5,041,992","17,608.81",10.5521,"5,066,447","20,301.33",11.7775,"5,088,333","26,271.60",10.9818,"5,107,790","25,783.45",12.2107,"5,124,573","24,691.87",11.7949,"5,139,835","26,009.27",11.1120,"5,153,498","26,186.19",10.9399,"5,165,474","24,345.91",10.6444,"5,176,209","24,967.79",11.7749,"5,188,008","26,997.75",12.1985,"5,200,598","32,927.68",13.7556,"5,213,014","37,772.18",12.9458,"5,228,172","39,054.85",10.5717,"5,246,096","41,222.60",12.7272,"5,266,268","48,476.39",12.3097,"5,288,720","53,772.79",10.6636,"5,313,399","47,481.48",10.1484,"5,338,871","46,505.30",11.6581,"5,363,352","51,148.93",10.2303,"5,388,272","47,708.06",9.1260,"5,413,971","49,892.22",9.2281,"5,438,972","50,327.24",8.4522,"5,461,512","42,801.91",7.8137,"5,479,531","43,814.03",8.3162,"5,495,303","46,412.14",7.8093,"5,508,214","49,987.63",8.0492,"5,515,525","48,629.86",7.4230,"5,521,606","49,169.72",6.5701,"5,529,543"
GDP per capita (current US$),Saudi Arabia,SAU,Middle East & North Africa,High income,"7,349.70",10.7095,"16,004,763","7,939.30",11.2839,"16,654,276","7,932.71",11.6907,"17,281,350","7,450.66",11.3890,"17,846,461","7,359.45",11.2350,"18,367,528","7,588.76",10.8440,"18,888,857","8,174.14",11.2133,"19,410,280","8,323.83",11.0376,"19,938,377","7,169.37",11.4250,"20,472,580","7,697.27",11.4005,"21,009,660","8,795.26",11.5863,"21,547,390","8,337.32",11.5043,"22,085,929","8,380.96",12.0340,"22,623,415","9,321.80",12.3031,"23,150,847","10,935.02",12.6740,"23,661,808","13,462.76",12.9231,"24,397,644","14,848.60",13.2150,"25,382,870","15,756.19",13.4324,"26,400,068","18,944.86",14.2038,"27,437,353","15,064.63",14.2722,"28,483,797","17,958.95",15.1684,"29,411,929","22,441.57",15.3814,"30,150,945","24,069.20",15.9780,"30,821,543","23,945.51",15.9839,"31,482,498","23,862.80",16.8252,"32,125,564","20,442.37",17.2578,"32,749,848","19,930.41",16.7951,"33,416,270","20,910.48",16.0778,"34,193,122","24,175.58",15.0655,"35,018,133","23,405.71",14.7030,"35,827,362","20,398.06",14.2666,"35,997,107"
